"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Germany","DEU","Surface area (sq. km)","AG.SRF.TOTL.K2","","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356970","356990","357000","357020","357030","357030","357030","357030","357030","357030","357040","357040","357050","357090","357100","357100","357110","357120","357130","357140","357170","357340","357380","357410","357580","357580","357580","357580","357590","357590","357600","357680","","",
"Djibouti","DJI","Surface area (sq. km)","AG.SRF.TOTL.K2","","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","23200","","",
"Dominica","DMA","Surface area (sq. km)","AG.SRF.TOTL.K2","","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","750","","",
"Denmark","DNK","Surface area (sq. km)","AG.SRF.TOTL.K2","","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","42920","","",
"Dominican Republic","DOM","Surface area (sq. km)","AG.SRF.TOTL.K2","","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","48670","146839.463","146839.463","146839.463","146839.463","146839.46","","",
"Algeria","DZA","Surface area (sq. km)","AG.SRF.TOTL.K2","","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381740","2381741","2381741","2381741","2381741","2381740","2381740","2381740","2381740","2381740","","",
"East Asia & Pacific (excluding high income)","EAP","Surface area (sq. km)","AG.SRF.TOTL.K2","","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16268840","16268840","16270880","16270960","16270960","16270960","16270960","16270960","16270960","16270960","16269620","16269630","16269630","16270300","16270330","16270360","16270380","16270380","16270370","16270360","16270360","16270360","16270360","16268480","16268484.2","16268533.2","16268542.7","16268546.5","16270443.8","16270443.4","16270442.8","16270281.8","16270282","16270185","16270188","16270182","16269787","16270058","16272656","16273023","16276167","16276122.2","16275953.77","16275983.519","16276158.57","16276152.791","16276146.851","","",
"Early-demographic dividend","EAR","Surface area (sq. km)","AG.SRF.TOTL.K2","","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260340","34260360","34142760","34135837","34135837","34135837","34135837","34108647","34108647","34105350","34105350","34105350","34105360","34135630.3","34135640.2","34135640","34135651.1","34135660.2","34136200.5","34136203.9","34136208.4","34136211.9","34136212.6","34134105.2","34141588.2","34141587.7","34145176.2","34144811.7","34246128.333","34242394.133","34242403.133","34240898.233","34238951.43","","",
"East Asia & Pacific","EAS","Surface area (sq. km)","AG.SRF.TOTL.K2","","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24822590","24822590","24824630","24824710","24824710","24824710","24824710","24824710","24824710","24824710","24823370","24823380","24823380","24824050","24824080","24824110","24824130","24824130","24824130","24824130","24824130","24824130","24824130","24821731","24822101.2","24822216.2","24822257.7","24822294.5","24824221.8","24824267","24824318","24824282","24824359.5","24824397.7","24824407.9","24824528.9","24824253.3","24824545.3","24827168.4","24827582.5","24830750.8","24830734.1","24830587.67","24830629.419","24830824.57","24794864.061","24794868.121","","",
"Europe & Central Asia (excluding high income)","ECA","Surface area (sq. km)","AG.SRF.TOTL.K2","","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027052","6027122","6027122","6027132","6027132","6027122","6027122","6027122","6023825","6023825","6023825","6023825","6023835","6023835","6023835","6023835","6023835","6023834","6023834","6023834","6023834","6023834","6022660","6027485","6027486","6027486","6027486","6030594","6027233","6027252","6027254","6027327","","",
"Europe & Central Asia","ECS","Surface area (sq. km)","AG.SRF.TOTL.K2","","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.137","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381885.837","28381975.837","28381985.837","28382015.837","28382095.837","28450835.837","28450765.837","28450765.837","28447206.837","28447226.837","28447536.837","28447940.837","28447666.837","28447686.837","28447976.837","28448029.73","28448044.73","28448178.73","28448425.73","28448434.73","28448804.73","28802064.45","28800916.74","28805746.29","28805941.51","28805769.74","28805969.799","28809494.456","28901282.191","28901307.234","28901143.351","28902314.768","","",
"Ecuador","ECU","Surface area (sq. km)","AG.SRF.TOTL.K2","","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","283560","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","256370","","",
"Egypt, Arab Rep.","EGY","Surface area (sq. km)","AG.SRF.TOTL.K2","","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","1001450","","",
"Euro area","EMU","Surface area (sq. km)","AG.SRF.TOTL.K2","","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925949","2925969","2925979","2925999","2926079","2926079","2926009","2926009","2925747","2925767","2926077","2926481","2926197","2926217","2926517","2926497","2926512","2926647","2926884","2926893","2927263","2959446.2","2959467.6","2959507.6","2959692.6","2959497.83","2959682.889","2959692.796","3017035.891","3017040.594","3017062.281","3017150.738","","",
"Eritrea","ERI","Surface area (sq. km)","AG.SRF.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","117600","121690.86","121690.003","121659.95","121626.677","121644.279","121656.3","121651.578","121675.619","121668.75","121635.908","121622.815","121675.405","121664.244","121658.018","121664.887","121668.106","121630.327","121765.8","121765.8","121765.8","","",
"Spain","ESP","Surface area (sq. km)","AG.SRF.TOTL.K2","","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505990","505000","505020","505320","505370","505370","505370","505370","505370","505370","505370","505600","505600","505940","505940","505940","505924","505935","505935.23","505957.289","505952.796","505969.891","505964.594","505978.281","505975.98","","",
"Estonia","EST","Surface area (sq. km)","AG.SRF.TOTL.K2","","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45230","45340","45340","45340","45340","45340","45340","45340","45340","45340","45340","45340","","",
"Ethiopia","ETH","Surface area (sq. km)","AG.SRF.TOTL.K2","","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1221900","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1104300","1136243.3","1136243.2","1136243","1136244.1","1136243.2","1136243.5","1136242.9","1136242.4","1136242.9","1136243.6","1136243.2","1136244.2","1136242.7","1136243.2","1136242.5","1136243.1","1136239.7","1136239.7","1136239.7","1136239.7","","",
"European Union","EUU","Surface area (sq. km)","AG.SRF.TOTL.K2","","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139269.11","4139289.11","4139299.11","4139319.11","4139399.11","4139399.11","4139329.11","4139329.11","4139067.11","4139087.11","4139397.11","4139801.11","4139517.11","4139537.11","4139827.11","4139807.11","4139822.11","4139957.11","4140194.11","4140203.11","4140573.11","4253793.72","4253815.12","4253856.89","4254041.89","4253847.12","4254042.179","4254462.836","4311826.901","4311831.634","4311863.751","4312962.168","","",
"Finland","FIN","Surface area (sq. km)","AG.SRF.TOTL.K2","","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338150","338440","338420","338420","338420","338420","338420","338420","338420","338420","338446","338450","338450","338450","338460","338460","338470","338470","338480","","",
"Fiji","FJI","Surface area (sq. km)","AG.SRF.TOTL.K2","","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","18270","","",
"France","FRA","Surface area (sq. km)","AG.SRF.TOTL.K2","","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549086","549087","549087","549087","549387","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","549087","606410","606410","606410","606410","","",
"Faroe Islands","FRO","Surface area (sq. km)","AG.SRF.TOTL.K2","","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","1396","12959.67","12960","12960","12960","","",
"Micronesia, Fed. Sts.","FSM","Surface area (sq. km)","AG.SRF.TOTL.K2","","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","700","","",
"Gabon","GAB","Surface area (sq. km)","AG.SRF.TOTL.K2","","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","267670","","",
"United Kingdom","GBR","Surface area (sq. km)","AG.SRF.TOTL.K2","","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","243610","","",
"Georgia","GEO","Surface area (sq. km)","AG.SRF.TOTL.K2","","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","69700","","",
"Ghana","GHA","Surface area (sq. km)","AG.SRF.TOTL.K2","","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238540","238533","238533","238533","238533","238539","","",
"Gibraltar","GIB","Surface area (sq. km)","AG.SRF.TOTL.K2","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","","",
"Guinea","GIN","Surface area (sq. km)","AG.SRF.TOTL.K2","","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","245860","","",
"Gambia, The","GMB","Surface area (sq. km)","AG.SRF.TOTL.K2","","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","11300","","",
"Guinea-Bissau","GNB","Surface area (sq. km)","AG.SRF.TOTL.K2","","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","36130","","",
"Equatorial Guinea","GNQ","Surface area (sq. km)","AG.SRF.TOTL.K2","","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","28050","","",
"Greece","GRC","Surface area (sq. km)","AG.SRF.TOTL.K2","","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","131960","","",
"Grenada","GRD","Surface area (sq. km)","AG.SRF.TOTL.K2","","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","340","","",
"Greenland","GRL","Surface area (sq. km)","AG.SRF.TOTL.K2","","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","341700","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","410450","","",
"Guatemala","GTM","Surface area (sq. km)","AG.SRF.TOTL.K2","","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","108890","","",
"Guam","GUM","Surface area (sq. km)","AG.SRF.TOTL.K2","","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","540","","",
"Guyana","GUY","Surface area (sq. km)","AG.SRF.TOTL.K2","","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","214970","","",
"High income","HIC","Surface area (sq. km)","AG.SRF.TOTL.K2","","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.037","60094313.737","60094223.737","60094223.737","60094223.737","60094223.737","60094223.737","60094223.737","60094223.737","60094223.737","60094223.737","60094223.737","60094223.737","60094223.737","60094243.737","60094263.737","60094273.737","60094303.737","60094393.737","60163143.737","60163073.737","60163073.737","60165232.737","60165618.737","60165994.737","60166440.737","60166199.737","60166259.737","60166595.337","60166709.83","60366339.83","60366552.13","60366936.33","60367007.53","60367507.53","60725122.65","60724950.94","60724987.59","60725833.91","60725687.44","60725915.599","60726902.136","60822064.871","60816006.014","60779885.401","60781003.818","","",
"Hong Kong SAR, China","HKG","Surface area (sq. km)","AG.SRF.TOTL.K2","","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1070","1080","1090","1090","1090","1090","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1100","1105","1106","1110","1110","1110","1110","1110","1110","1110","1110","","",
"Honduras","HND","Surface area (sq. km)","AG.SRF.TOTL.K2","","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","112490","","",
"Heavily indebted poor countries (HIPC)","HPC","Surface area (sq. km)","AG.SRF.TOTL.K2","","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20393351","20429385.16","20429384.203","20429353.95","20429321.777","20429338.479","20429350.8","20429345.478","20429624.019","19801807.65","19801775.508","19801762.015","19801815.605","19801802.944","19801797.218","19801803.387","19801780.206","19801739.027","19801874.5","19801874.5","19801888.5","","",
"Croatia","HRV","Surface area (sq. km)","AG.SRF.TOTL.K2","","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56540","56610","56610","56540","56540","56540","56540","56540","56594","56590","56590","56590","56590","56590","56590","56590","56590","56590","88073","88073","88073","88073","88073","88073","88073","88070","88070","88070","88070","","",
"Haiti","HTI","Surface area (sq. km)","AG.SRF.TOTL.K2","","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","27750","","",
"Hungary","HUN","Surface area (sq. km)","AG.SRF.TOTL.K2","","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","93030","","",
"IBRD only","IBD","Surface area (sq. km)","AG.SRF.TOTL.K2","","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72704208","72702088","72702088","72704128","72704118","72704118","72704118","72704118","72704118","72704118","72704118","72702778","72702788","72702788","72703458","72703488","72703518","72703608","72703608","72703608","72703668","72703658","72676398","72676398","72674518","72674522.2","72674571.2","72674634.7","72674654.5","72676551.8","72676541.4","72676540.8","72676379.8","72673840","72673755","72673725","72673717","72704628","72704794","72707393","72708364","72711508","72711479.2","72813129.113","72831890.112","72832085.163","72825239.484","72824564.549","","",
"IDA & IBRD total","IBT","Surface area (sq. km)","AG.SRF.TOTL.K2","","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98502229","98500109","98500109","98502149","98502139","98502139","98502139","98502139","98502139","98502139","98502139","98500799","98500809","98500809","98501479","98501509","98501539","98501629","98494706","98494706","98494766","98494756","98467496","98467496","98462319","98462323.2","98462372.2","98462435.7","98496806.66","98498703.003","98498662.35","98498629.577","98498485.279","98495956.8","98495866.478","98496115.019","98515173.65","98546052.508","98544201.015","98551678.605","98552637.944","98556123.218","98555689.587","98657315.319","98687635.139","98687964.663","98681118.984","98680450.049","","",
"IDA total","IDA","Surface area (sq. km)","AG.SRF.TOTL.K2","","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25798021","25791098","25791098","25791098","25791098","25791098","25791098","25787801","25787801","25787801","25787801","25822152.16","25822151.203","25822120.95","25822088.777","25822105.479","25822116.8","25822111.478","25822390.019","25841456.65","25841424.508","25839407.015","25844285.605","25844273.944","25844615.218","25844210.387","25844186.206","25855745.027","25855879.5","25855879.5","25855885.5","","",
"IDA blend","IDB","Surface area (sq. km)","AG.SRF.TOTL.K2","","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4984560","4981263","4981263","4981263","4981263","4981263","4981263","4981263","4981263","4981263","4981263","4981263","4981263","4981263","4981263","4981263","4986084","4986084","4986084","4986084","4986084","4997683","4997683","4997683","4997675","","",
"Indonesia","IDN","Surface area (sq. km)","AG.SRF.TOTL.K2","","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910930","1910931","1913580","1913580","1916820","1916862.2","1916906.77","1916906.77","1916906.77","1916906.77","1916906.77","","",
"IDA only","IDX","Surface area (sq. km)","AG.SRF.TOTL.K2","","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20813461","20806538","20806538","20806538","20806538","20806538","20806538","20806538","20806538","20806538","20806538","20840889.16","20840888.203","20840857.95","20840825.777","20840842.479","20840853.8","20840848.478","20841127.019","20860193.65","20860161.508","20858144.015","20858201.605","20858189.944","20858531.218","20858126.387","20858102.206","20858062.027","20858196.5","20858196.5","20858210.5","","",
